t_ms,x_mm,y_mm,yaw_deg
60582,1951,-871,-113.0
60682,1951,-871,-112.4
60782,1950,-874,-110.6
60882,1950,-875,-110.3
60982,1950,-874,-110.6
61082,1950,-873,-110.6
61182,1950,-873,-110.6
61282,1950,-874,-110.6
61381,1948,-878,-113.4
61482,1945,-884,-113.6
61582,1942,-892,-115.2
61682,1938,-901,-119.4
61782,1933,-908,-123.8
61882,1928,-915,-126.7
61983,1922,-924,-129.4
62083,1913,-933,-133.0
62182,1904,-942,-137.2
62282,1895,-950,-141.8
62384,1886,-957,-145.9
62487,1875,-963,-149.7
62593,1861,-971,-153.5
62682,1847,-977,-156.7
62782,1831,-983,-160.3
62882,1815,-989,-163.4
62990,1799,-993,-166.7
63097,1788,-996,-167.6
63181,1774,-998,-168.8
63282,1755,-1002,-170.0
63382,1737,-1005,-168.0
63482,1724,-1008,-165.5
63581,1709,-1013,-162.7
63682,1694,-1018,-159.8
63782,1680,-1023,-158.3
63884,1669,-1028,-156.4
63983,1660,-1032,-153.7
64082,1651,-1037,-150.4
64182,1638,-1045,-148.0
64282,1621,-1056,-145.4
64383,1602,-1069,-141.4
64498,1587,-1083,-135.0
64582,1574,-1097,-127.2
64686,1565,-1111,-119.3
64782,1558,-1125,-112.6
64891,1552,-1144,-107.3
64982,1546,-1167,-102.4
65082,1542,-1189,-95.8
65182,1541,-1210,-89.4
65282,1542,-1223,-84.7
65381,1542,-1228,-84.4
65482,1542,-1228,-84.3
65580,1542,-1228,-83.9
65681,1542,-1228,-83.9
65782,1542,-1228,-83.9
65894,1542,-1228,-83.9
65982,1542,-1228,-83.9
66082,1542,-1228,-83.9
66182,1542,-1228,-83.9
66282,1542,-1228,-83.9
66382,1542,-1228,-83.9
66482,1542,-1228,-83.9
66582,1542,-1228,-83.9
66682,1542,-1228,-83.9
66782,1542,-1228,-83.7
66882,1542,-1228,-83.4
66982,1542,-1229,-83.3
67081,1542,-1230,-83.1
67182,1543,-1237,-81.3
67281,1546,-1249,-77.1
67382,1550,-1265,-74.9
